Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Country,City,Region,Product_ID,Category,Sub_Category,Product_Name,Sales
1,IN-2017-152156,2017-11-08,2017-11-11,2,CG-12520,0,India,Delhi,2,FUR-BO-10001798,0,4,Bush Somerset Collection Bookcase,261.96
2,IN-2017-152156,2017-11-08,2017-11-11,2,CG-12520,0,India,Delhi,2,FUR-CH-10000454,0,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,IN-2017-138688,2017-06-12,2017-06-16,2,DV-13045,1,India,Delhi,3,OFF-LA-10000240,1,10,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,IN-2016-108966,2016-10-11,2016-10-18,3,SO-20335,0,India,Delhi,2,FUR-TA-10000577,0,16,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,IN-2016-108966,2016-10-11,2016-10-18,3,SO-20335,0,India,Delhi,2,OFF-ST-10000760,1,14,Eldon Fold N Roll Cart System,22.368
6,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,FUR-FU-10001487,0,9,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,OFF-AR-10002833,1,2,Newell 322,7.28
8,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,TEC-PH-10002275,2,13,Mitel 5320 IP Phone VoIP phone,907.152
9,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,OFF-BI-10003910,1,3,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,OFF-AP-10002892,1,1,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,FUR-TA-10001539,0,16,Chromcraft Rectangular Conference Tables,1706.184
12,IN-2015-115812,2015-06-09,2015-06-14,3,BH-11710,0,India,Delhi,3,TEC-PH-10002033,2,13,Konftel 250 Conference phone - Charcoal black,911.424
13,IN-2018-114412,2018-04-15,2018-04-20,3,AA-10480,0,India,Delhi,2,OFF-PA-10002365,1,12,Xerox 1967,15.552
14,IN-2017-161389,2017-12-05,2017-12-10,3,IM-15070,0,India,Delhi,3,OFF-BI-10003656,1,3,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,IN-2016-118983,2016-11-22,2016-11-26,3,HP-14815,2,India,Delhi,0,OFF-AP-10002311,1,1,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,IN-2016-118983,2016-11-22,2016-11-26,3,HP-14815,2,India,Delhi,0,OFF-BI-10000756,1,3,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,IN-2015-105893,2015-11-11,2015-11-18,3,PK-19075,0,India,Delhi,0,OFF-ST-10004186,1,14,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36W x 18 1/2D",665.88
18,IN-2015-167164,2015-05-13,2015-05-15,2,AG-10270,0,India,Delhi,3,OFF-ST-10000107,1,14,Fellowes Super Stor/Drawer,55.5
19,IN-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,0,India,Delhi,3,OFF-AR-10003056,1,2,Newell 341,8.56
