Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Country,City,Region,Product_ID,Category,Sub_Category,Product_Name,Sales
1,IN-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,Consumer,India,Delhi,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
2,IN-2017-152156,08-11-2017,11-11-2017,Second Class,CG-12520,Consumer,India,Delhi,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,IN-2017-138688,12-06-2017,16-06-2017,Second Class,DV-13045,Corporate,India,Delhi,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,IN-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,Consumer,India,Delhi,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,IN-2016-108966,11-10-2016,18-10-2016,Standard Class,SO-20335,Consumer,India,Delhi,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold N Roll Cart System,22.368
6,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28
8,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
9,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184
12,IN-2015-115812,09-06-2015,14-06-2015,Standard Class,BH-11710,Consumer,India,Delhi,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424
13,IN-2018-114412,15-04-2018,20-04-2018,Standard Class,AA-10480,Consumer,India,Delhi,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552
14,IN-2017-161389,05-12-2017,10-12-2017,Standard Class,IM-15070,Consumer,India,Delhi,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,IN-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,Home Office,India,Delhi,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,IN-2016-118983,22-11-2016,26-11-2016,Standard Class,HP-14815,Home Office,India,Delhi,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,IN-2015-105893,11-11-2015,18-11-2015,Standard Class,PK-19075,Consumer,India,Delhi,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36W x 18 1/2D",665.88
18,IN-2015-167164,13-05-2015,15-05-2015,Second Class,AG-10270,Consumer,India,Delhi,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
19,IN-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Consumer,India,Delhi,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56
20,IN-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Consumer,India,Delhi,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48
21,IN-2015-143336,27-08-2015,01-09-2015,Second Class,ZD-21925,Consumer,India,Delhi,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1",22.72
22,IN-2017-137330,09-12-2017,13-12-2017,Standard Class,KB-16585,Corporate,India,Delhi,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46
